-12.902,-12.902
-4.566,-4.566
-2.0022,-2
3.5569,3.6667
2.3996,2.8889
6.6825,6.6825
5.2483,5.25
7.0807,7.0807
28.863,28.863
-2.0229,-2.0208
-0.94236,-0.86047
-3.8571,-3.8571
-2.0816,-2.08
-2.2231,-2.2222
-1.9572,-1.9545
-0.66881,-0.5
-3.2308,-3.2308
-2.2864,-2.2857
1.0247,2.0755
-1.5516,-1.5397
7.4186,7.4186
-2.4259,-2.4255
2.584,2.9924
-2.0022,-2
-1.4645,-1.4484
0.80283,1.8559
-27.407,-27.407
-11.881,-11.881
0.82477,1.88
-6.8333,-6.8333
-6,-6
-3.55,-3.55
9,9
7.3684,7.3684
7.45,7.45
15.111,15.111
9.92,9.92
6.1481,6.1481
4.0451,4.0882
14,14
2.2778,2.8235
10.762,10.762
6.1363,6.1364
4.9656,4.9697
10.867,10.867
8.4865,8.4865
7.2105,7.2105
9.15,9.15
4.2518,4.2791
0.64118,1.661
0.19866,0.97154
1.9463,2.6525
4.7235,4.7317
1.101,2.14
9.0811,9.0811
-27.357,-27.357
-23.229,-23.229
-35.153,-35.153
-32.821,-32.821
-17.154,-17.154
-15.048,-15.048
-16.527,-16.527
-2.6624,-2.6623
-2.5958,-2.5956
-2.6226,-2.6224
-3.7358,-3.7358
-9.5161,-9.5161
-3.901,-3.901
-3.0342,-3.0342
-3.4173,-3.4173
-4.5652,-4.5652
-5.6667,-5.6667
5.714,5.7143
-0.73695,-0.59465
-0.042541,0.53535
0.12154,0.83391
-0.94012,-0.85771
2.3204,2.8462
-2.9321,-2.932
-1.1928,-1.1538
-2.2828,-2.2821
0.32091,1.1818
-4.6471,-4.6471
6.9375,6.9375
-2.0022,-2
-0.85444,-0.75
-1.3786,-1.3571
5.9999,6
-10.714,-10.714
-5.28,-5.28
1.3711,2.3342
-7.4058,-7.4058
-9.1429,-9.1429
-5,-5
-2.5202,-2.52
-1.0585,-1
-2.6252,-2.625
